time	species	protein	transcript	ribo_density
0.000000	__chromosome_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__vector_rbs	0.000000	0.000000	0.000000
0.000000	chromosome	0.000000	0.000000	0.000000
0.000000	chromprom	1.000000	0.000000	0.000000
0.000000	medprom	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
0.000000	rnapol-chromosome	0.000000	0.000000	0.000000
0.000000	rnapol-vector	0.000000	0.000000	0.000000
0.000000	vector	0.000000	0.000000	0.000000
1.007801	__chromosome_rbs	1.000000	0.000000	0.000000
1.007801	__ribosome	100.000000	0.000000	0.000000
1.007801	__vector_rbs	0.000000	0.000000	0.000000
1.007801	chromosome	0.000000	1.000000	0.000000
1.007801	chromprom	1.000000	0.000000	0.000000
1.007801	medprom	1.000000	0.000000	0.000000
1.007801	rnapol	9.000000	0.000000	0.000000
1.007801	rnapol-chromosome	0.000000	0.000000	0.000000
1.007801	rnapol-vector	0.000000	0.000000	0.000000
1.007801	vector	0.000000	0.000000	0.000000
2.001372	__chromosome_rbs	1.000000	0.000000	0.000000
2.001372	__ribosome	98.000000	0.000000	0.000000
2.001372	__vector_rbs	0.000000	0.000000	0.000000
2.001372	chromosome	0.000000	2.000000	1.000000
2.001372	chromprom	1.000000	0.000000	0.000000
2.001372	medprom	1.000000	0.000000	0.000000
2.001372	rnapol	7.000000	0.000000	0.000000
2.001372	rnapol-chromosome	0.000000	0.000000	0.000000
2.001372	rnapol-vector	0.000000	0.000000	0.000000
2.001372	vector	0.000000	0.000000	0.000000
3.004362	__chromosome_rbs	4.000000	0.000000	0.000000
3.004362	__ribosome	96.000000	0.000000	0.000000
3.004362	__vector_rbs	0.000000	0.000000	0.000000
3.004362	chromosome	0.000000	4.000000	1.000000
3.004362	chromprom	0.000000	0.000000	0.000000
3.004362	medprom	1.000000	0.000000	0.000000
3.004362	rnapol	5.000000	0.000000	0.000000
3.004362	rnapol-chromosome	0.000000	0.000000	0.000000
3.004362	rnapol-vector	0.000000	0.000000	0.000000
3.004362	vector	0.000000	0.000000	0.000000
4.000904	__chromosome_rbs	3.000000	0.000000	0.000000
4.000904	__ribosome	90.000000	0.000000	0.000000
4.000904	__vector_rbs	0.000000	0.000000	0.000000
4.000904	chromosome	0.000000	6.000000	1.666667
4.000904	chromprom	0.000000	0.000000	0.000000
4.000904	medprom	1.000000	0.000000	0.000000
4.000904	rnapol	2.000000	0.000000	0.000000
4.000904	rnapol-chromosome	0.000000	0.000000	0.000000
4.000904	rnapol-vector	0.000000	0.000000	0.000000
4.000904	vector	0.000000	0.000000	0.000000
5.000329	__chromosome_rbs	3.000000	0.000000	0.000000
5.000329	__ribosome	82.000000	0.000000	0.000000
5.000329	__vector_rbs	1.000000	0.000000	0.000000
5.000329	chromosome	0.000000	8.000000	2.250000
5.000329	chromprom	1.000000	0.000000	0.000000
5.000329	medprom	1.000000	0.000000	0.000000
5.000329	rnapol	1.000000	0.000000	0.000000
5.000329	rnapol-chromosome	0.000000	0.000000	0.000000
5.000329	rnapol-vector	0.000000	0.000000	0.000000
5.000329	vector	0.000000	1.000000	0.000000
5.999161	__chromosome_rbs	5.000000	0.000000	0.000000
5.999161	__ribosome	74.000000	0.000000	0.000000
5.999161	__vector_rbs	1.000000	0.000000	0.000000
5.999161	chromosome	0.000000	8.000000	3.250000
5.999161	chromprom	1.000000	0.000000	0.000000
5.999161	medprom	1.000000	0.000000	0.000000
5.999161	rnapol	0.000000	0.000000	0.000000
5.999161	rnapol-chromosome	0.000000	0.000000	0.000000
5.999161	rnapol-vector	0.000000	0.000000	0.000000
5.999161	vector	0.000000	1.000000	0.000000
6.999689	__chromosome_rbs	4.000000	0.000000	0.000000
6.999689	__ribosome	63.000000	0.000000	0.000000
6.999689	__vector_rbs	1.000000	0.000000	0.000000
6.999689	chromosome	0.000000	9.000000	4.111111
6.999689	chromprom	1.000000	0.000000	0.000000
6.999689	medprom	1.000000	0.000000	0.000000
6.999689	rnapol	0.000000	0.000000	0.000000
6.999689	rnapol-chromosome	0.000000	0.000000	0.000000
6.999689	rnapol-vector	0.000000	0.000000	0.000000
6.999689	vector	0.000000	1.000000	0.000000
8.000182	__chromosome_rbs	8.000000	0.000000	0.000000
8.000182	__ribosome	55.000000	0.000000	0.000000
8.000182	__vector_rbs	1.000000	0.000000	0.000000
8.000182	chromosome	0.000000	9.000000	5.000000
8.000182	chromprom	1.000000	0.000000	0.000000
8.000182	medprom	1.000000	0.000000	0.000000
8.000182	rnapol	0.000000	0.000000	0.000000
8.000182	rnapol-chromosome	0.000000	0.000000	0.000000
8.000182	rnapol-vector	0.000000	0.000000	0.000000
8.000182	vector	0.000000	1.000000	0.000000
8.999037	__chromosome_rbs	6.000000	0.000000	0.000000
8.999037	__ribosome	48.000000	0.000000	0.000000
8.999037	__vector_rbs	1.000000	0.000000	0.000000
8.999037	chromosome	0.000000	9.000000	5.777778
8.999037	chromprom	1.000000	0.000000	0.000000
8.999037	medprom	1.000000	0.000000	0.000000
8.999037	rnapol	0.000000	0.000000	0.000000
8.999037	rnapol-chromosome	0.000000	0.000000	0.000000
8.999037	rnapol-vector	0.000000	0.000000	0.000000
8.999037	vector	0.000000	1.000000	0.000000
9.999117	__chromosome_rbs	6.000000	0.000000	0.000000
9.999117	__ribosome	42.000000	0.000000	0.000000
9.999117	__vector_rbs	1.000000	0.000000	0.000000
9.999117	chromosome	0.000000	9.000000	6.444444
9.999117	chromprom	1.000000	0.000000	0.000000
9.999117	medprom	1.000000	0.000000	0.000000
9.999117	rnapol	0.000000	0.000000	0.000000
9.999117	rnapol-chromosome	0.000000	0.000000	0.000000
9.999117	rnapol-vector	0.000000	0.000000	0.000000
9.999117	vector	0.000000	1.000000	0.000000
11.000633	__chromosome_rbs	6.000000	0.000000	0.000000
11.000633	__ribosome	36.000000	0.000000	0.000000
11.000633	__vector_rbs	1.000000	0.000000	0.000000
11.000633	chromosome	0.000000	9.000000	7.111111
11.000633	chromprom	1.000000	0.000000	0.000000
11.000633	medprom	1.000000	0.000000	0.000000
11.000633	rnapol	0.000000	0.000000	0.000000
11.000633	rnapol-chromosome	0.000000	0.000000	0.000000
11.000633	rnapol-vector	0.000000	0.000000	0.000000
11.000633	vector	0.000000	1.000000	0.000000
11.999702	__chromosome_rbs	6.000000	0.000000	0.000000
11.999702	__ribosome	31.000000	0.000000	0.000000
11.999702	__vector_rbs	1.000000	0.000000	0.000000
11.999702	chromosome	0.000000	9.000000	7.666667
11.999702	chromprom	1.000000	0.000000	0.000000
11.999702	medprom	1.000000	0.000000	0.000000
11.999702	rnapol	0.000000	0.000000	0.000000
11.999702	rnapol-chromosome	0.000000	0.000000	0.000000
11.999702	rnapol-vector	0.000000	0.000000	0.000000
11.999702	vector	0.000000	1.000000	0.000000
12.999164	__chromosome_rbs	7.000000	0.000000	0.000000
12.999164	__ribosome	25.000000	0.000000	0.000000
12.999164	__vector_rbs	1.000000	0.000000	0.000000
12.999164	chromosome	0.000000	9.000000	8.333333
12.999164	chromprom	1.000000	0.000000	0.000000
12.999164	medprom	1.000000	0.000000	0.000000
12.999164	rnapol	0.000000	0.000000	0.000000
12.999164	rnapol-chromosome	0.000000	0.000000	0.000000
12.999164	rnapol-vector	0.000000	0.000000	0.000000
12.999164	vector	0.000000	1.000000	0.000000
13.999562	__chromosome_rbs	5.000000	0.000000	0.000000
13.999562	__ribosome	20.000000	0.000000	0.000000
13.999562	__vector_rbs	1.000000	0.000000	0.000000
13.999562	chromosome	0.000000	9.000000	8.888889
13.999562	chromprom	1.000000	0.000000	0.000000
13.999562	medprom	1.000000	0.000000	0.000000
13.999562	rnapol	0.000000	0.000000	0.000000
13.999562	rnapol-chromosome	0.000000	0.000000	0.000000
13.999562	rnapol-vector	0.000000	0.000000	0.000000
13.999562	vector	0.000000	1.000000	0.000000
14.999029	__chromosome_rbs	7.000000	0.000000	0.000000
14.999029	__ribosome	17.000000	0.000000	0.000000
14.999029	__vector_rbs	1.000000	0.000000	0.000000
14.999029	chromosome	0.000000	9.000000	9.222222
14.999029	chromprom	1.000000	0.000000	0.000000
14.999029	medprom	1.000000	0.000000	0.000000
14.999029	rnapol	0.000000	0.000000	0.000000
14.999029	rnapol-chromosome	0.000000	0.000000	0.000000
14.999029	rnapol-vector	0.000000	0.000000	0.000000
14.999029	vector	0.000000	1.000000	0.000000
16.000200	__chromosome_rbs	8.000000	0.000000	0.000000
16.000200	__ribosome	15.000000	0.000000	0.000000
16.000200	__vector_rbs	1.000000	0.000000	0.000000
16.000200	chromosome	0.000000	9.000000	9.444444
16.000200	chromprom	1.000000	0.000000	0.000000
16.000200	medprom	1.000000	0.000000	0.000000
16.000200	rnapol	0.000000	0.000000	0.000000
16.000200	rnapol-chromosome	0.000000	0.000000	0.000000
