time	species	protein	transcript	ribo_density
0.000000	__chromosome_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__vector_rbs	0.000000	0.000000	0.000000
0.000000	chromosome	0.000000	0.000000	0.000000
0.000000	chromprom	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
0.000000	rnapol-chromosome	0.000000	0.000000	0.000000
0.000000	rnapol-vector	0.000000	0.000000	0.000000
0.000000	vector	0.000000	0.000000	0.000000
0.000000	weakprom	1.000000	0.000000	0.000000
1.002528	__chromosome_rbs	0.000000	0.000000	0.000000
1.002528	__ribosome	99.000000	0.000000	0.000000
1.002528	__vector_rbs	0.000000	0.000000	0.000000
1.002528	chromosome	0.000000	1.000000	1.000000
1.002528	chromprom	0.000000	0.000000	0.000000
1.002528	rnapol	8.000000	0.000000	0.000000
1.002528	rnapol-chromosome	0.000000	0.000000	0.000000
1.002528	rnapol-vector	0.000000	0.000000	0.000000
1.002528	vector	0.000000	0.000000	0.000000
1.002528	weakprom	1.000000	0.000000	0.000000
1.999670	__chromosome_rbs	1.000000	0.000000	0.000000
1.999670	__ribosome	96.000000	0.000000	0.000000
1.999670	__vector_rbs	0.000000	0.000000	0.000000
1.999670	chromosome	0.000000	3.000000	1.333333
1.999670	chromprom	1.000000	0.000000	0.000000
1.999670	rnapol	6.000000	0.000000	0.000000
1.999670	rnapol-chromosome	0.000000	0.000000	0.000000
1.999670	rnapol-vector	0.000000	0.000000	0.000000
1.999670	vector	0.000000	0.000000	0.000000
1.999670	weakprom	1.000000	0.000000	0.000000
3.000541	__chromosome_rbs	2.000000	0.000000	0.000000
3.000541	__ribosome	92.000000	0.000000	0.000000
3.000541	__vector_rbs	0.000000	0.000000	0.000000
3.000541	chromosome	0.000000	5.000000	1.600000
3.000541	chromprom	1.000000	0.000000	0.000000
3.000541	rnapol	4.000000	0.000000	0.000000
3.000541	rnapol-chromosome	0.000000	0.000000	0.000000
3.000541	rnapol-vector	0.000000	0.000000	0.000000
3.000541	vector	0.000000	0.000000	0.000000
3.000541	weakprom	1.000000	0.000000	0.000000
4.000194	__chromosome_rbs	4.000000	0.000000	0.000000
4.000194	__ribosome	87.000000	0.000000	0.000000
4.000194	__vector_rbs	0.000000	0.000000	0.000000
4.000194	chromosome	0.000000	7.000000	1.857143
4.000194	chromprom	1.000000	0.000000	0.000000
4.000194	rnapol	2.000000	0.000000	0.000000
4.000194	rnapol-chromosome	0.000000	0.000000	0.000000
4.000194	rnapol-vector	0.000000	0.000000	0.000000
4.000194	vector	0.000000	0.000000	0.000000
4.000194	weakprom	1.000000	0.000000	0.000000
4.999175	__chromosome_rbs	7.000000	0.000000	0.000000
4.999175	__ribosome	83.000000	0.000000	0.000000
4.999175	__vector_rbs	0.000000	0.000000	0.000000
4.999175	chromosome	0.000000	9.000000	1.888889
4.999175	chromprom	1.000000	0.000000	0.000000
4.999175	rnapol	1.000000	0.000000	0.000000
4.999175	rnapol-chromosome	0.000000	0.000000	0.000000
4.999175	rnapol-vector	0.000000	0.000000	0.000000
4.999175	vector	0.000000	0.000000	0.000000
4.999175	weakprom	1.000000	0.000000	0.000000
5.999129	__chromosome_rbs	5.000000	0.000000	0.000000
5.999129	__ribosome	73.000000	0.000000	0.000000
5.999129	__vector_rbs	0.000000	0.000000	0.000000
5.999129	chromosome	0.000000	9.000000	3.000000
5.999129	chromprom	1.000000	0.000000	0.000000
5.999129	rnapol	1.000000	0.000000	0.000000
5.999129	rnapol-chromosome	0.000000	0.000000	0.000000
5.999129	rnapol-vector	0.000000	0.000000	0.000000
5.999129	vector	0.000000	0.000000	0.000000
5.999129	weakprom	1.000000	0.000000	0.000000
7.000304	__chromosome_rbs	6.000000	0.000000	0.000000
7.000304	__ribosome	66.000000	0.000000	0.000000
7.000304	__vector_rbs	0.000000	0.000000	0.000000
7.000304	chromosome	0.000000	10.000000	3.400000
7.000304	chromprom	1.000000	0.000000	0.000000
7.000304	rnapol	0.000000	0.000000	0.000000
7.000304	rnapol-chromosome	0.000000	0.000000	0.000000
7.000304	rnapol-vector	0.000000	0.000000	0.000000
7.000304	vector	0.000000	0.000000	0.000000
7.000304	weakprom	1.000000	0.000000	0.000000
7.999423	__chromosome_rbs	5.000000	0.000000	0.000000
7.999423	__ribosome	57.000000	0.000000	0.000000
7.999423	__vector_rbs	0.000000	0.000000	0.000000
7.999423	chromosome	0.000000	10.000000	4.300000
7.999423	chromprom	1.000000	0.000000	0.000000
7.999423	rnapol	0.000000	0.000000	0.000000
7.999423	rnapol-chromosome	0.000000	0.000000	0.000000
7.999423	rnapol-vector	0.000000	0.000000	0.000000
7.999423	vector	0.000000	0.000000	0.000000
7.999423	weakprom	1.000000	0.000000	0.000000
8.999373	__chromosome_rbs	7.000000	0.000000	0.000000
8.999373	__ribosome	51.000000	0.000000	0.000000
8.999373	__vector_rbs	0.000000	0.000000	0.000000
8.999373	chromosome	0.000000	10.000000	4.900000
8.999373	chromprom	1.000000	0.000000	0.000000
8.999373	rnapol	0.000000	0.000000	0.000000
8.999373	rnapol-chromosome	0.000000	0.000000	0.000000
8.999373	rnapol-vector	0.000000	0.000000	0.000000
8.999373	vector	0.000000	0.000000	0.000000
8.999373	weakprom	1.000000	0.000000	0.000000
9.999390	__chromosome_rbs	7.000000	0.000000	0.000000
9.999390	__ribosome	44.000000	0.000000	0.000000
9.999390	__vector_rbs	0.000000	0.000000	0.000000
9.999390	chromosome	0.000000	10.000000	5.600000
9.999390	chromprom	1.000000	0.000000	0.000000
9.999390	rnapol	0.000000	0.000000	0.000000
9.999390	rnapol-chromosome	0.000000	0.000000	0.000000
9.999390	rnapol-vector	0.000000	0.000000	0.000000
9.999390	vector	0.000000	0.000000	0.000000
9.999390	weakprom	1.000000	0.000000	0.000000
10.999230	__chromosome_rbs	8.000000	0.000000	0.000000
10.999230	__ribosome	38.000000	0.000000	0.000000
10.999230	__vector_rbs	0.000000	0.000000	0.000000
10.999230	chromosome	0.000000	10.000000	6.200000
10.999230	chromprom	1.000000	0.000000	0.000000
10.999230	rnapol	0.000000	0.000000	0.000000
10.999230	rnapol-chromosome	0.000000	0.000000	0.000000
10.999230	rnapol-vector	0.000000	0.000000	0.000000
10.999230	vector	0.000000	0.000000	0.000000
10.999230	weakprom	1.000000	0.000000	0.000000
11.999121	__chromosome_rbs	6.000000	0.000000	0.000000
11.999121	__ribosome	30.000000	0.000000	0.000000
11.999121	__vector_rbs	0.000000	0.000000	0.000000
11.999121	chromosome	0.000000	10.000000	7.000000
11.999121	chromprom	1.000000	0.000000	0.000000
11.999121	rnapol	0.000000	0.000000	0.000000
11.999121	rnapol-chromosome	0.000000	0.000000	0.000000
11.999121	rnapol-vector	0.000000	0.000000	0.000000
11.999121	vector	0.000000	0.000000	0.000000
11.999121	weakprom	1.000000	0.000000	0.000000
12.999244	__chromosome_rbs	6.000000	0.000000	0.000000
12.999244	__ribosome	24.000000	0.000000	0.000000
12.999244	__vector_rbs	0.000000	0.000000	0.000000
12.999244	chromosome	0.000000	10.000000	7.600000
12.999244	chromprom	1.000000	0.000000	0.000000
12.999244	rnapol	0.000000	0.000000	0.000000
12.999244	rnapol-chromosome	0.000000	0.000000	0.000000
12.999244	rnapol-vector	0.000000	0.000000	0.000000
12.999244	vector	0.000000	0.000000	0.000000
12.999244	weakprom	1.000000	0.000000	0.000000
13.999610	__chromosome_rbs	10.000000	0.000000	0.000000
13.999610	__ribosome	22.000000	0.000000	0.000000
13.999610	__vector_rbs	0.000000	0.000000	0.000000
13.999610	chromosome	0.000000	10.000000	7.800000
13.999610	chromprom	1.000000	0.000000	0.000000
13.999610	rnapol	0.000000	0.000000	0.000000
13.999610	rnapol-chromosome	0.000000	0.000000	0.000000
13.999610	rnapol-vector	0.000000	0.000000	0.000000
13.999610	vector	0.000000	0.000000	0.000000
13.999610	weakprom	1.000000	0.000000	0.000000
14.999128	__chromosome_rbs	8.000000	0.000000	0.000000
14.999128	__ribosome	19.000000	0.000000	0.000000
14.999128	__vector_rbs	0.000000	0.000000	0.000000
14.999128	chromosome	0.000000	10.000000	8.100000
14.999128	chromprom	1.000000	0.000000	0.000000
14.999128	rnapol	0.000000	0.000000	0.000000
14.999128	rnapol-chromosome	0.000000	0.000000	0.000000
14.999128	rnapol-vector	0.000000	0.000000	0.000000
14.999128	vector	0.000000	0.000000	0.000000
14.999128	weakprom	1.000000	0.000000	0.000000
15.999023	__chromosome_rbs	9.000000	0.000000	0.000000
15.999023	__ribosome	17.000000	0.000000	0.000000
15.999023	__vector_rbs	0.000000	0.000000	0.000000
15.999023	chromosome	0.000000	10.000000	8.300000
15.999023	chromprom	1.000000	0.000000	0.000000
15.999023	rnapol	0.000000	0.000000	0.000000
15.999023	rnapol-chromosome	0.000000	0.000000	0.000000
15.999023	rnapol-vector	0.000000	0.000000	0.000000
