time	species	protein	transcript	ribo_density
0.000000	__chromosome_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__vector_rbs	0.000000	0.000000	0.000000
0.000000	chromosome	0.000000	0.000000	0.000000
0.000000	chromprom	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
0.000000	rnapol-chromosome	0.000000	0.000000	0.000000
0.000000	rnapol-vector	0.000000	0.000000	0.000000
0.000000	strongprom	1.000000	0.000000	0.000000
0.000000	vector	0.000000	0.000000	0.000000
1.008402	__chromosome_rbs	1.000000	0.000000	0.000000
1.008402	__ribosome	100.000000	0.000000	0.000000
1.008402	__vector_rbs	1.000000	0.000000	0.000000
1.008402	chromosome	0.000000	1.000000	0.000000
1.008402	chromprom	1.000000	0.000000	0.000000
1.008402	rnapol	7.000000	0.000000	0.000000
1.008402	rnapol-chromosome	0.000000	0.000000	0.000000
1.008402	rnapol-vector	0.000000	0.000000	0.000000
1.008402	strongprom	0.000000	0.000000	0.000000
1.008402	vector	0.000000	1.000000	0.000000
1.999127	__chromosome_rbs	1.000000	0.000000	0.000000
1.999127	__ribosome	94.000000	0.000000	0.000000
1.999127	__vector_rbs	0.000000	0.000000	0.000000
1.999127	chromosome	0.000000	2.000000	1.000000
1.999127	chromprom	1.000000	0.000000	0.000000
1.999127	rnapol	4.000000	0.000000	0.000000
1.999127	rnapol-chromosome	0.000000	0.000000	0.000000
1.999127	rnapol-vector	0.000000	0.000000	0.000000
1.999127	strongprom	1.000000	0.000000	0.000000
1.999127	vector	0.000000	3.000000	1.333333
3.000576	__chromosome_rbs	1.000000	0.000000	0.000000
3.000576	__ribosome	89.000000	0.000000	0.000000
3.000576	__vector_rbs	3.000000	0.000000	0.000000
3.000576	chromosome	0.000000	3.000000	1.666667
3.000576	chromprom	1.000000	0.000000	0.000000
3.000576	rnapol	3.000000	0.000000	0.000000
3.000576	rnapol-chromosome	0.000000	0.000000	0.000000
3.000576	rnapol-vector	0.000000	0.000000	0.000000
3.000576	strongprom	1.000000	0.000000	0.000000
3.000576	vector	0.000000	4.000000	1.500000
4.001505	__chromosome_rbs	3.000000	0.000000	0.000000
4.001505	__ribosome	83.000000	0.000000	0.000000
4.001505	__vector_rbs	4.000000	0.000000	0.000000
4.001505	chromosome	0.000000	3.000000	2.000000
4.001505	chromprom	1.000000	0.000000	0.000000
4.001505	rnapol	1.000000	0.000000	0.000000
4.001505	rnapol-chromosome	0.000000	0.000000	0.000000
4.001505	rnapol-vector	0.000000	0.000000	0.000000
4.001505	strongprom	0.000000	0.000000	0.000000
4.001505	vector	0.000000	5.000000	2.200000
4.999294	__chromosome_rbs	2.000000	0.000000	0.000000
4.999294	__ribosome	72.000000	0.000000	0.000000
4.999294	__vector_rbs	2.000000	0.000000	0.000000
4.999294	chromosome	0.000000	3.000000	3.666667
4.999294	chromprom	1.000000	0.000000	0.000000
4.999294	rnapol	1.000000	0.000000	0.000000
4.999294	rnapol-chromosome	0.000000	0.000000	0.000000
4.999294	rnapol-vector	0.000000	0.000000	0.000000
4.999294	strongprom	1.000000	0.000000	0.000000
4.999294	vector	0.000000	6.000000	2.833333
5.999531	__chromosome_rbs	2.000000	0.000000	0.000000
5.999531	__ribosome	66.000000	0.000000	0.000000
5.999531	__vector_rbs	4.000000	0.000000	0.000000
5.999531	chromosome	0.000000	3.000000	4.666667
5.999531	chromprom	1.000000	0.000000	0.000000
5.999531	rnapol	0.000000	0.000000	0.000000
5.999531	rnapol-chromosome	0.000000	0.000000	0.000000
5.999531	rnapol-vector	0.000000	0.000000	0.000000
5.999531	strongprom	1.000000	0.000000	0.000000
5.999531	vector	0.000000	7.000000	2.857143
6.999731	__chromosome_rbs	2.000000	0.000000	0.000000
6.999731	__ribosome	60.000000	0.000000	0.000000
6.999731	__vector_rbs	4.000000	0.000000	0.000000
6.999731	chromosome	0.000000	3.000000	5.333333
6.999731	chromprom	1.000000	0.000000	0.000000
6.999731	rnapol	0.000000	0.000000	0.000000
6.999731	rnapol-chromosome	0.000000	0.000000	0.000000
6.999731	rnapol-vector	0.000000	0.000000	0.000000
6.999731	strongprom	1.000000	0.000000	0.000000
6.999731	vector	0.000000	7.000000	3.428571
7.999275	__chromosome_rbs	3.000000	0.000000	0.000000
7.999275	__ribosome	54.000000	0.000000	0.000000
7.999275	__vector_rbs	6.000000	0.000000	0.000000
7.999275	chromosome	0.000000	3.000000	6.000000
7.999275	chromprom	1.000000	0.000000	0.000000
7.999275	rnapol	0.000000	0.000000	0.000000
7.999275	rnapol-chromosome	0.000000	0.000000	0.000000
7.999275	rnapol-vector	0.000000	0.000000	0.000000
7.999275	strongprom	1.000000	0.000000	0.000000
7.999275	vector	0.000000	7.000000	4.000000
8.999223	__chromosome_rbs	2.000000	0.000000	0.000000
8.999223	__ribosome	45.000000	0.000000	0.000000
8.999223	__vector_rbs	3.000000	0.000000	0.000000
8.999223	chromosome	0.000000	3.000000	6.666667
8.999223	chromprom	1.000000	0.000000	0.000000
8.999223	rnapol	0.000000	0.000000	0.000000
8.999223	rnapol-chromosome	0.000000	0.000000	0.000000
8.999223	rnapol-vector	0.000000	0.000000	0.000000
8.999223	strongprom	1.000000	0.000000	0.000000
8.999223	vector	0.000000	7.000000	5.000000
9.999183	__chromosome_rbs	3.000000	0.000000	0.000000
9.999183	__ribosome	42.000000	0.000000	0.000000
9.999183	__vector_rbs	6.000000	0.000000	0.000000
9.999183	chromosome	0.000000	3.000000	7.000000
9.999183	chromprom	1.000000	0.000000	0.000000
9.999183	rnapol	0.000000	0.000000	0.000000
9.999183	rnapol-chromosome	0.000000	0.000000	0.000000
9.999183	rnapol-vector	0.000000	0.000000	0.000000
9.999183	strongprom	1.000000	0.000000	0.000000
9.999183	vector	0.000000	7.000000	5.285714
10.999557	__chromosome_rbs	1.000000	0.000000	0.000000
10.999557	__ribosome	35.000000	0.000000	0.000000
10.999557	__vector_rbs	6.000000	0.000000	0.000000
10.999557	chromosome	0.000000	3.000000	8.000000
10.999557	chromprom	1.000000	0.000000	0.000000
10.999557	rnapol	0.000000	0.000000	0.000000
10.999557	rnapol-chromosome	0.000000	0.000000	0.000000
10.999557	rnapol-vector	0.000000	0.000000	0.000000
10.999557	strongprom	1.000000	0.000000	0.000000
10.999557	vector	0.000000	7.000000	5.857143
11.999408	__chromosome_rbs	2.000000	0.000000	0.000000
11.999408	__ribosome	32.000000	0.000000	0.000000
11.999408	__vector_rbs	6.000000	0.000000	0.000000
11.999408	chromosome	0.000000	3.000000	8.333333
11.999408	chromprom	1.000000	0.000000	0.000000
11.999408	rnapol	0.000000	0.000000	0.000000
11.999408	rnapol-chromosome	0.000000	0.000000	0.000000
11.999408	rnapol-vector	0.000000	0.000000	0.000000
11.999408	strongprom	1.000000	0.000000	0.000000
11.999408	vector	0.000000	7.000000	6.142857
12.999127	__chromosome_rbs	1.000000	0.000000	0.000000
12.999127	__ribosome	26.000000	0.000000	0.000000
12.999127	__vector_rbs	5.000000	0.000000	0.000000
12.999127	chromosome	0.000000	3.000000	9.000000
12.999127	chromprom	1.000000	0.000000	0.000000
12.999127	rnapol	0.000000	0.000000	0.000000
12.999127	rnapol-chromosome	0.000000	0.000000	0.000000
12.999127	rnapol-vector	0.000000	0.000000	0.000000
12.999127	strongprom	1.000000	0.000000	0.000000
12.999127	vector	0.000000	7.000000	6.714286
13.999225	__chromosome_rbs	3.000000	0.000000	0.000000
13.999225	__ribosome	22.000000	0.000000	0.000000
13.999225	__vector_rbs	5.000000	0.000000	0.000000
13.999225	chromosome	0.000000	3.000000	9.333333
13.999225	chromprom	1.000000	0.000000	0.000000
13.999225	rnapol	0.000000	0.000000	0.000000
13.999225	rnapol-chromosome	0.000000	0.000000	0.000000
13.999225	rnapol-vector	0.000000	0.000000	0.000000
13.999225	strongprom	1.000000	0.000000	0.000000
13.999225	vector	0.000000	7.000000	7.142857
14.999179	__chromosome_rbs	1.000000	0.000000	0.000000
14.999179	__ribosome	17.000000	0.000000	0.000000
14.999179	__vector_rbs	7.000000	0.000000	0.000000
14.999179	chromosome	0.000000	3.000000	10.000000
14.999179	chromprom	1.000000	0.000000	0.000000
14.999179	rnapol	0.000000	0.000000	0.000000
14.999179	rnapol-chromosome	0.000000	0.000000	0.000000
14.999179	rnapol-vector	0.000000	0.000000	0.000000
14.999179	strongprom	1.000000	0.000000	0.000000
14.999179	vector	0.000000	7.000000	7.571429
15.999027	__chromosome_rbs	3.000000	0.000000	0.000000
15.999027	__ribosome	14.000000	0.000000	0.000000
15.999027	__vector_rbs	6.000000	0.000000	0.000000
15.999027	chromosome	0.000000	3.000000	10.000000
15.999027	chromprom	1.000000	0.000000	0.000000
15.999027	rnapol	0.000000	0.000000	0.000000
15.999027	rnapol-chromosome	0.000000	0.000000	0.000000
15.999027	rnapol-vector	0.000000	0.000000	0.000000
