time	species	protein	transcript	ribo_density
0.000000	__chromosome_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__vector_rbs	0.000000	0.000000	0.000000
0.000000	chromosome	0.000000	0.000000	0.000000
0.000000	chromprom	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
0.000000	rnapol-chromosome	0.000000	0.000000	0.000000
0.000000	rnapol-vector	0.000000	0.000000	0.000000
0.000000	strongprom	1.000000	0.000000	0.000000
0.000000	vector	0.000000	0.000000	0.000000
1.018095	__chromosome_rbs	0.000000	0.000000	0.000000
1.018095	__ribosome	100.000000	0.000000	0.000000
1.018095	__vector_rbs	1.000000	0.000000	0.000000
1.018095	chromosome	0.000000	0.000000	0.000000
1.018095	chromprom	1.000000	0.000000	0.000000
1.018095	rnapol	8.000000	0.000000	0.000000
1.018095	rnapol-chromosome	0.000000	0.000000	0.000000
1.018095	rnapol-vector	0.000000	0.000000	0.000000
1.018095	strongprom	0.000000	0.000000	0.000000
1.018095	vector	0.000000	1.000000	0.000000
2.000283	__chromosome_rbs	1.000000	0.000000	0.000000
2.000283	__ribosome	100.000000	0.000000	0.000000
2.000283	__vector_rbs	3.000000	0.000000	0.000000
2.000283	chromosome	0.000000	1.000000	0.000000
2.000283	chromprom	1.000000	0.000000	0.000000
2.000283	rnapol	5.000000	0.000000	0.000000
2.000283	rnapol-chromosome	0.000000	0.000000	0.000000
2.000283	rnapol-vector	0.000000	0.000000	0.000000
2.000283	strongprom	0.000000	0.000000	0.000000
2.000283	vector	0.000000	3.000000	0.000000
2.999762	__chromosome_rbs	2.000000	0.000000	0.000000
2.999762	__ribosome	99.000000	0.000000	0.000000
2.999762	__vector_rbs	5.000000	0.000000	0.000000
2.999762	chromosome	0.000000	2.000000	0.500000
2.999762	chromprom	1.000000	0.000000	0.000000
2.999762	rnapol	3.000000	0.000000	0.000000
2.999762	rnapol-chromosome	0.000000	0.000000	0.000000
2.999762	rnapol-vector	0.000000	0.000000	0.000000
2.999762	strongprom	1.000000	0.000000	0.000000
2.999762	vector	0.000000	5.000000	0.000000
4.008652	__chromosome_rbs	3.000000	0.000000	0.000000
4.008652	__ribosome	98.000000	0.000000	0.000000
4.008652	__vector_rbs	6.000000	0.000000	0.000000
4.008652	chromosome	0.000000	3.000000	0.666667
4.008652	chromprom	1.000000	0.000000	0.000000
4.008652	rnapol	0.000000	0.000000	0.000000
4.008652	rnapol-chromosome	0.000000	0.000000	0.000000
4.008652	rnapol-vector	0.000000	0.000000	0.000000
4.008652	strongprom	1.000000	0.000000	0.000000
4.008652	vector	0.000000	6.000000	0.000000
5.001014	__chromosome_rbs	2.000000	0.000000	0.000000
5.001014	__ribosome	94.000000	0.000000	0.000000
5.001014	__vector_rbs	7.000000	0.000000	0.000000
5.001014	chromosome	0.000000	3.000000	1.666667
5.001014	chromprom	1.000000	0.000000	0.000000
5.001014	rnapol	0.000000	0.000000	0.000000
5.001014	rnapol-chromosome	0.000000	0.000000	0.000000
5.001014	rnapol-vector	0.000000	0.000000	0.000000
5.001014	strongprom	1.000000	0.000000	0.000000
5.001014	vector	0.000000	7.000000	0.142857
6.000248	__chromosome_rbs	2.000000	0.000000	0.000000
6.000248	__ribosome	91.000000	0.000000	0.000000
6.000248	__vector_rbs	7.000000	0.000000	0.000000
6.000248	chromosome	0.000000	3.000000	2.666667
6.000248	chromprom	1.000000	0.000000	0.000000
6.000248	rnapol	0.000000	0.000000	0.000000
6.000248	rnapol-chromosome	0.000000	0.000000	0.000000
6.000248	rnapol-vector	0.000000	0.000000	0.000000
6.000248	strongprom	1.000000	0.000000	0.000000
6.000248	vector	0.000000	7.000000	0.142857
7.001586	__chromosome_rbs	3.000000	0.000000	0.000000
7.001586	__ribosome	89.000000	0.000000	0.000000
7.001586	__vector_rbs	7.000000	0.000000	0.000000
7.001586	chromosome	0.000000	3.000000	3.333333
7.001586	chromprom	1.000000	0.000000	0.000000
7.001586	rnapol	0.000000	0.000000	0.000000
7.001586	rnapol-chromosome	0.000000	0.000000	0.000000
7.001586	rnapol-vector	0.000000	0.000000	0.000000
7.001586	strongprom	1.000000	0.000000	0.000000
7.001586	vector	0.000000	7.000000	0.142857
7.999287	__chromosome_rbs	2.000000	0.000000	0.000000
7.999287	__ribosome	85.000000	0.000000	0.000000
7.999287	__vector_rbs	7.000000	0.000000	0.000000
7.999287	chromosome	0.000000	3.000000	4.666667
7.999287	chromprom	1.000000	0.000000	0.000000
7.999287	rnapol	0.000000	0.000000	0.000000
7.999287	rnapol-chromosome	0.000000	0.000000	0.000000
7.999287	rnapol-vector	0.000000	0.000000	0.000000
7.999287	strongprom	1.000000	0.000000	0.000000
7.999287	vector	0.000000	7.000000	0.142857
9.000051	__chromosome_rbs	1.000000	0.000000	0.000000
9.000051	__ribosome	81.000000	0.000000	0.000000
9.000051	__vector_rbs	7.000000	0.000000	0.000000
9.000051	chromosome	0.000000	3.000000	6.000000
9.000051	chromprom	1.000000	0.000000	0.000000
9.000051	rnapol	0.000000	0.000000	0.000000
9.000051	rnapol-chromosome	0.000000	0.000000	0.000000
9.000051	rnapol-vector	0.000000	0.000000	0.000000
9.000051	strongprom	1.000000	0.000000	0.000000
9.000051	vector	0.000000	7.000000	0.142857
9.999376	__chromosome_rbs	1.000000	0.000000	0.000000
9.999376	__ribosome	78.000000	0.000000	0.000000
9.999376	__vector_rbs	7.000000	0.000000	0.000000
9.999376	chromosome	0.000000	3.000000	7.000000
9.999376	chromprom	1.000000	0.000000	0.000000
9.999376	rnapol	0.000000	0.000000	0.000000
9.999376	rnapol-chromosome	0.000000	0.000000	0.000000
9.999376	rnapol-vector	0.000000	0.000000	0.000000
9.999376	strongprom	1.000000	0.000000	0.000000
9.999376	vector	0.000000	7.000000	0.142857
11.000656	__chromosome_rbs	1.000000	0.000000	0.000000
11.000656	__ribosome	74.000000	0.000000	0.000000
11.000656	__vector_rbs	6.000000	0.000000	0.000000
11.000656	chromosome	0.000000	3.000000	8.000000
11.000656	chromprom	1.000000	0.000000	0.000000
11.000656	rnapol	0.000000	0.000000	0.000000
11.000656	rnapol-chromosome	0.000000	0.000000	0.000000
11.000656	rnapol-vector	0.000000	0.000000	0.000000
11.000656	strongprom	1.000000	0.000000	0.000000
11.000656	vector	0.000000	7.000000	0.285714
11.999455	__chromosome_rbs	1.000000	0.000000	0.000000
11.999455	__ribosome	72.000000	0.000000	0.000000
11.999455	__vector_rbs	7.000000	0.000000	0.000000
11.999455	chromosome	0.000000	3.000000	8.666667
11.999455	chromprom	1.000000	0.000000	0.000000
11.999455	rnapol	0.000000	0.000000	0.000000
11.999455	rnapol-chromosome	0.000000	0.000000	0.000000
11.999455	rnapol-vector	0.000000	0.000000	0.000000
11.999455	strongprom	1.000000	0.000000	0.000000
11.999455	vector	0.000000	7.000000	0.285714
12.999310	__chromosome_rbs	2.000000	0.000000	0.000000
12.999310	__ribosome	70.000000	0.000000	0.000000
12.999310	__vector_rbs	7.000000	0.000000	0.000000
12.999310	chromosome	0.000000	3.000000	9.333333
12.999310	chromprom	1.000000	0.000000	0.000000
12.999310	rnapol	0.000000	0.000000	0.000000
12.999310	rnapol-chromosome	0.000000	0.000000	0.000000
12.999310	rnapol-vector	0.000000	0.000000	0.000000
12.999310	strongprom	1.000000	0.000000	0.000000
12.999310	vector	0.000000	7.000000	0.285714
13.999447	__chromosome_rbs	2.000000	0.000000	0.000000
13.999447	__ribosome	68.000000	0.000000	0.000000
13.999447	__vector_rbs	7.000000	0.000000	0.000000
13.999447	chromosome	0.000000	3.000000	10.000000
13.999447	chromprom	1.000000	0.000000	0.000000
13.999447	rnapol	0.000000	0.000000	0.000000
13.999447	rnapol-chromosome	0.000000	0.000000	0.000000
13.999447	rnapol-vector	0.000000	0.000000	0.000000
13.999447	strongprom	1.000000	0.000000	0.000000
13.999447	vector	0.000000	7.000000	0.285714
14.999344	__chromosome_rbs	2.000000	0.000000	0.000000
14.999344	__ribosome	67.000000	0.000000	0.000000
14.999344	__vector_rbs	7.000000	0.000000	0.000000
14.999344	chromosome	0.000000	3.000000	10.333333
14.999344	chromprom	1.000000	0.000000	0.000000
14.999344	rnapol	0.000000	0.000000	0.000000
14.999344	rnapol-chromosome	0.000000	0.000000	0.000000
14.999344	rnapol-vector	0.000000	0.000000	0.000000
14.999344	strongprom	1.000000	0.000000	0.000000
14.999344	vector	0.000000	7.000000	0.285714
16.000687	__chromosome_rbs	3.000000	0.000000	0.000000
16.000687	__ribosome	66.000000	0.000000	0.000000
16.000687	__vector_rbs	7.000000	0.000000	0.000000
16.000687	chromosome	0.000000	3.000000	10.666667
16.000687	chromprom	1.000000	0.000000	0.000000
16.000687	rnapol	0.000000	0.000000	0.000000
16.000687	rnapol-chromosome	0.000000	0.000000	0.000000
16.000687	rnapol-vector	0.000000	0.000000	0.000000
