time	species	protein	transcript	ribo_density
0.000000	__chromosome_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__vector_rbs	0.000000	0.000000	0.000000
0.000000	chromosome	0.000000	0.000000	0.000000
0.000000	chromprom	1.000000	0.000000	0.000000
0.000000	medprom	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
0.000000	rnapol-chromosome	0.000000	0.000000	0.000000
0.000000	rnapol-vector	0.000000	0.000000	0.000000
0.000000	vector	0.000000	0.000000	0.000000
1.002420	__chromosome_rbs	0.000000	0.000000	0.000000
1.002420	__ribosome	98.000000	0.000000	0.000000
1.002420	__vector_rbs	0.000000	0.000000	0.000000
1.002420	chromosome	0.000000	2.000000	1.000000
1.002420	chromprom	1.000000	0.000000	0.000000
1.002420	medprom	1.000000	0.000000	0.000000
1.002420	rnapol	7.000000	0.000000	0.000000
1.002420	rnapol-chromosome	0.000000	0.000000	0.000000
1.002420	rnapol-vector	0.000000	0.000000	0.000000
1.002420	vector	0.000000	0.000000	0.000000
2.000968	__chromosome_rbs	2.000000	0.000000	0.000000
2.000968	__ribosome	95.000000	0.000000	0.000000
2.000968	__vector_rbs	0.000000	0.000000	0.000000
2.000968	chromosome	0.000000	4.000000	1.250000
2.000968	chromprom	1.000000	0.000000	0.000000
2.000968	medprom	1.000000	0.000000	0.000000
2.000968	rnapol	5.000000	0.000000	0.000000
2.000968	rnapol-chromosome	0.000000	0.000000	0.000000
2.000968	rnapol-vector	0.000000	0.000000	0.000000
2.000968	vector	0.000000	0.000000	0.000000
2.999209	__chromosome_rbs	2.000000	0.000000	0.000000
2.999209	__ribosome	90.000000	0.000000	0.000000
2.999209	__vector_rbs	0.000000	0.000000	0.000000
2.999209	chromosome	0.000000	6.000000	1.666667
2.999209	chromprom	0.000000	0.000000	0.000000
2.999209	medprom	1.000000	0.000000	0.000000
2.999209	rnapol	3.000000	0.000000	0.000000
2.999209	rnapol-chromosome	0.000000	0.000000	0.000000
2.999209	rnapol-vector	0.000000	0.000000	0.000000
2.999209	vector	0.000000	0.000000	0.000000
3.999158	__chromosome_rbs	5.000000	0.000000	0.000000
3.999158	__ribosome	84.000000	0.000000	0.000000
3.999158	__vector_rbs	0.000000	0.000000	0.000000
3.999158	chromosome	0.000000	8.000000	2.000000
3.999158	chromprom	0.000000	0.000000	0.000000
3.999158	medprom	1.000000	0.000000	0.000000
3.999158	rnapol	1.000000	0.000000	0.000000
3.999158	rnapol-chromosome	0.000000	0.000000	0.000000
3.999158	rnapol-vector	0.000000	0.000000	0.000000
3.999158	vector	0.000000	0.000000	0.000000
4.999429	__chromosome_rbs	5.000000	0.000000	0.000000
4.999429	__ribosome	78.000000	0.000000	0.000000
4.999429	__vector_rbs	0.000000	0.000000	0.000000
4.999429	chromosome	0.000000	9.000000	2.444444
4.999429	chromprom	0.000000	0.000000	0.000000
4.999429	medprom	1.000000	0.000000	0.000000
4.999429	rnapol	0.000000	0.000000	0.000000
4.999429	rnapol-chromosome	0.000000	0.000000	0.000000
4.999429	rnapol-vector	0.000000	0.000000	0.000000
4.999429	vector	0.000000	0.000000	0.000000
5.999330	__chromosome_rbs	5.000000	0.000000	0.000000
5.999330	__ribosome	68.000000	0.000000	0.000000
5.999330	__vector_rbs	0.000000	0.000000	0.000000
5.999330	chromosome	0.000000	10.000000	3.200000
5.999330	chromprom	1.000000	0.000000	0.000000
5.999330	medprom	1.000000	0.000000	0.000000
5.999330	rnapol	0.000000	0.000000	0.000000
5.999330	rnapol-chromosome	0.000000	0.000000	0.000000
5.999330	rnapol-vector	0.000000	0.000000	0.000000
5.999330	vector	0.000000	0.000000	0.000000
6.999133	__chromosome_rbs	6.000000	0.000000	0.000000
6.999133	__ribosome	60.000000	0.000000	0.000000
6.999133	__vector_rbs	0.000000	0.000000	0.000000
6.999133	chromosome	0.000000	10.000000	4.000000
6.999133	chromprom	1.000000	0.000000	0.000000
6.999133	medprom	1.000000	0.000000	0.000000
6.999133	rnapol	0.000000	0.000000	0.000000
6.999133	rnapol-chromosome	0.000000	0.000000	0.000000
6.999133	rnapol-vector	0.000000	0.000000	0.000000
6.999133	vector	0.000000	0.000000	0.000000
7.999061	__chromosome_rbs	7.000000	0.000000	0.000000
7.999061	__ribosome	52.000000	0.000000	0.000000
7.999061	__vector_rbs	0.000000	0.000000	0.000000
7.999061	chromosome	0.000000	10.000000	4.800000
7.999061	chromprom	1.000000	0.000000	0.000000
7.999061	medprom	1.000000	0.000000	0.000000
7.999061	rnapol	0.000000	0.000000	0.000000
7.999061	rnapol-chromosome	0.000000	0.000000	0.000000
7.999061	rnapol-vector	0.000000	0.000000	0.000000
7.999061	vector	0.000000	0.000000	0.000000
8.999455	__chromosome_rbs	8.000000	0.000000	0.000000
8.999455	__ribosome	48.000000	0.000000	0.000000
8.999455	__vector_rbs	0.000000	0.000000	0.000000
8.999455	chromosome	0.000000	10.000000	5.200000
8.999455	chromprom	1.000000	0.000000	0.000000
8.999455	medprom	1.000000	0.000000	0.000000
8.999455	rnapol	0.000000	0.000000	0.000000
8.999455	rnapol-chromosome	0.000000	0.000000	0.000000
8.999455	rnapol-vector	0.000000	0.000000	0.000000
8.999455	vector	0.000000	0.000000	0.000000
10.001620	__chromosome_rbs	5.000000	0.000000	0.000000
10.001620	__ribosome	40.000000	0.000000	0.000000
10.001620	__vector_rbs	0.000000	0.000000	0.000000
10.001620	chromosome	0.000000	10.000000	6.000000
10.001620	chromprom	1.000000	0.000000	0.000000
10.001620	medprom	1.000000	0.000000	0.000000
10.001620	rnapol	0.000000	0.000000	0.000000
10.001620	rnapol-chromosome	0.000000	0.000000	0.000000
10.001620	rnapol-vector	0.000000	0.000000	0.000000
10.001620	vector	0.000000	0.000000	0.000000
10.999044	__chromosome_rbs	7.000000	0.000000	0.000000
10.999044	__ribosome	36.000000	0.000000	0.000000
10.999044	__vector_rbs	0.000000	0.000000	0.000000
10.999044	chromosome	0.000000	10.000000	6.400000
10.999044	chromprom	1.000000	0.000000	0.000000
10.999044	medprom	1.000000	0.000000	0.000000
10.999044	rnapol	0.000000	0.000000	0.000000
10.999044	rnapol-chromosome	0.000000	0.000000	0.000000
10.999044	rnapol-vector	0.000000	0.000000	0.000000
10.999044	vector	0.000000	0.000000	0.000000
11.999096	__chromosome_rbs	8.000000	0.000000	0.000000
11.999096	__ribosome	29.000000	0.000000	0.000000
11.999096	__vector_rbs	0.000000	0.000000	0.000000
11.999096	chromosome	0.000000	10.000000	7.100000
11.999096	chromprom	1.000000	0.000000	0.000000
11.999096	medprom	1.000000	0.000000	0.000000
11.999096	rnapol	0.000000	0.000000	0.000000
11.999096	rnapol-chromosome	0.000000	0.000000	0.000000
11.999096	rnapol-vector	0.000000	0.000000	0.000000
11.999096	vector	0.000000	0.000000	0.000000
12.999020	__chromosome_rbs	8.000000	0.000000	0.000000
12.999020	__ribosome	25.000000	0.000000	0.000000
12.999020	__vector_rbs	0.000000	0.000000	0.000000
12.999020	chromosome	0.000000	10.000000	7.500000
12.999020	chromprom	1.000000	0.000000	0.000000
12.999020	medprom	1.000000	0.000000	0.000000
12.999020	rnapol	0.000000	0.000000	0.000000
12.999020	rnapol-chromosome	0.000000	0.000000	0.000000
12.999020	rnapol-vector	0.000000	0.000000	0.000000
12.999020	vector	0.000000	0.000000	0.000000
13.999479	__chromosome_rbs	8.000000	0.000000	0.000000
13.999479	__ribosome	23.000000	0.000000	0.000000
13.999479	__vector_rbs	0.000000	0.000000	0.000000
13.999479	chromosome	0.000000	10.000000	7.700000
13.999479	chromprom	1.000000	0.000000	0.000000
13.999479	medprom	1.000000	0.000000	0.000000
13.999479	rnapol	0.000000	0.000000	0.000000
13.999479	rnapol-chromosome	0.000000	0.000000	0.000000
13.999479	rnapol-vector	0.000000	0.000000	0.000000
13.999479	vector	0.000000	0.000000	0.000000
14.999204	__chromosome_rbs	7.000000	0.000000	0.000000
14.999204	__ribosome	19.000000	0.000000	0.000000
14.999204	__vector_rbs	0.000000	0.000000	0.000000
14.999204	chromosome	0.000000	10.000000	8.100000
14.999204	chromprom	1.000000	0.000000	0.000000
14.999204	medprom	1.000000	0.000000	0.000000
14.999204	rnapol	0.000000	0.000000	0.000000
14.999204	rnapol-chromosome	0.000000	0.000000	0.000000
14.999204	rnapol-vector	0.000000	0.000000	0.000000
14.999204	vector	0.000000	0.000000	0.000000
15.999624	__chromosome_rbs	10.000000	0.000000	0.000000
15.999624	__ribosome	18.000000	0.000000	0.000000
15.999624	__vector_rbs	0.000000	0.000000	0.000000
15.999624	chromosome	0.000000	10.000000	8.200000
15.999624	chromprom	1.000000	0.000000	0.000000
15.999624	medprom	1.000000	0.000000	0.000000
15.999624	rnapol	0.000000	0.000000	0.000000
15.999624	rnapol-chromosome	0.000000	0.000000	0.000000
