time	species	protein	transcript	ribo_density
0.000000	__chromosome_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__vector_rbs	0.000000	0.000000	0.000000
0.000000	chromosome	0.000000	0.000000	0.000000
0.000000	chromprom	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
0.000000	rnapol-chromosome	0.000000	0.000000	0.000000
0.000000	rnapol-vector	0.000000	0.000000	0.000000
0.000000	vector	0.000000	0.000000	0.000000
0.000000	weakprom	1.000000	0.000000	0.000000
1.009393	__chromosome_rbs	1.000000	0.000000	0.000000
1.009393	__ribosome	100.000000	0.000000	0.000000
1.009393	__vector_rbs	0.000000	0.000000	0.000000
1.009393	chromosome	0.000000	1.000000	0.000000
1.009393	chromprom	0.000000	0.000000	0.000000
1.009393	rnapol	8.000000	0.000000	0.000000
1.009393	rnapol-chromosome	0.000000	0.000000	0.000000
1.009393	rnapol-vector	0.000000	0.000000	0.000000
1.009393	vector	0.000000	0.000000	0.000000
1.009393	weakprom	1.000000	0.000000	0.000000
2.016286	__chromosome_rbs	1.000000	0.000000	0.000000
2.016286	__ribosome	98.000000	0.000000	0.000000
2.016286	__vector_rbs	0.000000	0.000000	0.000000
2.016286	chromosome	0.000000	2.000000	1.000000
2.016286	chromprom	1.000000	0.000000	0.000000
2.016286	rnapol	7.000000	0.000000	0.000000
2.016286	rnapol-chromosome	0.000000	0.000000	0.000000
2.016286	rnapol-vector	0.000000	0.000000	0.000000
2.016286	vector	0.000000	0.000000	0.000000
2.016286	weakprom	1.000000	0.000000	0.000000
3.001850	__chromosome_rbs	2.000000	0.000000	0.000000
3.001850	__ribosome	96.000000	0.000000	0.000000
3.001850	__vector_rbs	0.000000	0.000000	0.000000
3.001850	chromosome	0.000000	3.000000	1.333333
3.001850	chromprom	1.000000	0.000000	0.000000
3.001850	rnapol	6.000000	0.000000	0.000000
3.001850	rnapol-chromosome	0.000000	0.000000	0.000000
3.001850	rnapol-vector	0.000000	0.000000	0.000000
3.001850	vector	0.000000	0.000000	0.000000
3.001850	weakprom	1.000000	0.000000	0.000000
4.001764	__chromosome_rbs	3.000000	0.000000	0.000000
4.001764	__ribosome	91.000000	0.000000	0.000000
4.001764	__vector_rbs	0.000000	0.000000	0.000000
4.001764	chromosome	0.000000	5.000000	1.800000
4.001764	chromprom	0.000000	0.000000	0.000000
4.001764	rnapol	4.000000	0.000000	0.000000
4.001764	rnapol-chromosome	0.000000	0.000000	0.000000
4.001764	rnapol-vector	0.000000	0.000000	0.000000
4.001764	vector	0.000000	0.000000	0.000000
4.001764	weakprom	1.000000	0.000000	0.000000
4.999741	__chromosome_rbs	5.000000	0.000000	0.000000
4.999741	__ribosome	86.000000	0.000000	0.000000
4.999741	__vector_rbs	0.000000	0.000000	0.000000
4.999741	chromosome	0.000000	6.000000	2.333333
4.999741	chromprom	0.000000	0.000000	0.000000
4.999741	rnapol	2.000000	0.000000	0.000000
4.999741	rnapol-chromosome	0.000000	0.000000	0.000000
4.999741	rnapol-vector	0.000000	0.000000	0.000000
4.999741	vector	0.000000	0.000000	0.000000
4.999741	weakprom	1.000000	0.000000	0.000000
5.999484	__chromosome_rbs	2.000000	0.000000	0.000000
5.999484	__ribosome	77.000000	0.000000	0.000000
5.999484	__vector_rbs	0.000000	0.000000	0.000000
5.999484	chromosome	0.000000	8.000000	2.875000
5.999484	chromprom	1.000000	0.000000	0.000000
5.999484	rnapol	2.000000	0.000000	0.000000
5.999484	rnapol-chromosome	0.000000	0.000000	0.000000
5.999484	rnapol-vector	0.000000	0.000000	0.000000
5.999484	vector	0.000000	0.000000	0.000000
5.999484	weakprom	1.000000	0.000000	0.000000
6.999061	__chromosome_rbs	5.000000	0.000000	0.000000
6.999061	__ribosome	69.000000	0.000000	0.000000
6.999061	__vector_rbs	0.000000	0.000000	0.000000
6.999061	chromosome	0.000000	8.000000	3.875000
6.999061	chromprom	1.000000	0.000000	0.000000
6.999061	rnapol	2.000000	0.000000	0.000000
6.999061	rnapol-chromosome	0.000000	0.000000	0.000000
6.999061	rnapol-vector	0.000000	0.000000	0.000000
6.999061	vector	0.000000	0.000000	0.000000
6.999061	weakprom	1.000000	0.000000	0.000000
8.001599	__chromosome_rbs	6.000000	0.000000	0.000000
8.001599	__ribosome	62.000000	0.000000	0.000000
8.001599	__vector_rbs	0.000000	0.000000	0.000000
8.001599	chromosome	0.000000	8.000000	4.750000
8.001599	chromprom	1.000000	0.000000	0.000000
8.001599	rnapol	2.000000	0.000000	0.000000
8.001599	rnapol-chromosome	0.000000	0.000000	0.000000
8.001599	rnapol-vector	0.000000	0.000000	0.000000
8.001599	vector	0.000000	0.000000	0.000000
8.001599	weakprom	1.000000	0.000000	0.000000
8.999537	__chromosome_rbs	7.000000	0.000000	0.000000
8.999537	__ribosome	58.000000	0.000000	0.000000
8.999537	__vector_rbs	0.000000	0.000000	0.000000
8.999537	chromosome	0.000000	8.000000	5.250000
8.999537	chromprom	0.000000	0.000000	0.000000
8.999537	rnapol	1.000000	0.000000	0.000000
8.999537	rnapol-chromosome	0.000000	0.000000	0.000000
8.999537	rnapol-vector	0.000000	0.000000	0.000000
8.999537	vector	0.000000	0.000000	0.000000
8.999537	weakprom	1.000000	0.000000	0.000000
9.999282	__chromosome_rbs	5.000000	0.000000	0.000000
9.999282	__ribosome	50.000000	0.000000	0.000000
9.999282	__vector_rbs	0.000000	0.000000	0.000000
9.999282	chromosome	0.000000	9.000000	5.555556
9.999282	chromprom	1.000000	0.000000	0.000000
9.999282	rnapol	1.000000	0.000000	0.000000
9.999282	rnapol-chromosome	0.000000	0.000000	0.000000
9.999282	rnapol-vector	0.000000	0.000000	0.000000
9.999282	vector	0.000000	0.000000	0.000000
9.999282	weakprom	1.000000	0.000000	0.000000
10.999295	__chromosome_rbs	6.000000	0.000000	0.000000
10.999295	__ribosome	45.000000	0.000000	0.000000
10.999295	__vector_rbs	0.000000	0.000000	0.000000
10.999295	chromosome	0.000000	10.000000	5.500000
10.999295	chromprom	1.000000	0.000000	0.000000
10.999295	rnapol	0.000000	0.000000	0.000000
10.999295	rnapol-chromosome	0.000000	0.000000	0.000000
10.999295	rnapol-vector	0.000000	0.000000	0.000000
10.999295	vector	0.000000	0.000000	0.000000
10.999295	weakprom	1.000000	0.000000	0.000000
11.999150	__chromosome_rbs	8.000000	0.000000	0.000000
11.999150	__ribosome	39.000000	0.000000	0.000000
11.999150	__vector_rbs	0.000000	0.000000	0.000000
11.999150	chromosome	0.000000	10.000000	6.100000
11.999150	chromprom	1.000000	0.000000	0.000000
11.999150	rnapol	0.000000	0.000000	0.000000
11.999150	rnapol-chromosome	0.000000	0.000000	0.000000
11.999150	rnapol-vector	0.000000	0.000000	0.000000
11.999150	vector	0.000000	0.000000	0.000000
11.999150	weakprom	1.000000	0.000000	0.000000
12.999542	__chromosome_rbs	9.000000	0.000000	0.000000
12.999542	__ribosome	35.000000	0.000000	0.000000
12.999542	__vector_rbs	0.000000	0.000000	0.000000
12.999542	chromosome	0.000000	10.000000	6.500000
12.999542	chromprom	1.000000	0.000000	0.000000
12.999542	rnapol	0.000000	0.000000	0.000000
12.999542	rnapol-chromosome	0.000000	0.000000	0.000000
12.999542	rnapol-vector	0.000000	0.000000	0.000000
12.999542	vector	0.000000	0.000000	0.000000
12.999542	weakprom	1.000000	0.000000	0.000000
13.999584	__chromosome_rbs	9.000000	0.000000	0.000000
13.999584	__ribosome	31.000000	0.000000	0.000000
13.999584	__vector_rbs	0.000000	0.000000	0.000000
13.999584	chromosome	0.000000	10.000000	6.900000
13.999584	chromprom	1.000000	0.000000	0.000000
13.999584	rnapol	0.000000	0.000000	0.000000
13.999584	rnapol-chromosome	0.000000	0.000000	0.000000
13.999584	rnapol-vector	0.000000	0.000000	0.000000
13.999584	vector	0.000000	0.000000	0.000000
13.999584	weakprom	1.000000	0.000000	0.000000
14.999094	__chromosome_rbs	8.000000	0.000000	0.000000
14.999094	__ribosome	27.000000	0.000000	0.000000
14.999094	__vector_rbs	0.000000	0.000000	0.000000
14.999094	chromosome	0.000000	10.000000	7.300000
14.999094	chromprom	1.000000	0.000000	0.000000
14.999094	rnapol	0.000000	0.000000	0.000000
14.999094	rnapol-chromosome	0.000000	0.000000	0.000000
14.999094	rnapol-vector	0.000000	0.000000	0.000000
14.999094	vector	0.000000	0.000000	0.000000
14.999094	weakprom	1.000000	0.000000	0.000000
15.999304	__chromosome_rbs	7.000000	0.000000	0.000000
15.999304	__ribosome	23.000000	0.000000	0.000000
15.999304	__vector_rbs	0.000000	0.000000	0.000000
15.999304	chromosome	0.000000	10.000000	7.700000
15.999304	chromprom	1.000000	0.000000	0.000000
15.999304	rnapol	0.000000	0.000000	0.000000
15.999304	rnapol-chromosome	0.000000	0.000000	0.000000
15.999304	rnapol-vector	0.000000	0.000000	0.000000
