time	species	protein	transcript	ribo_density
0.000000	__chromosome_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__vector_rbs	0.000000	0.000000	0.000000
0.000000	chromosome	0.000000	0.000000	0.000000
0.000000	chromprom	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
0.000000	rnapol-chromosome	0.000000	0.000000	0.000000
0.000000	rnapol-vector	0.000000	0.000000	0.000000
0.000000	vector	0.000000	0.000000	0.000000
0.000000	weakprom	1.000000	0.000000	0.000000
1.003754	__chromosome_rbs	0.000000	0.000000	0.000000
1.003754	__ribosome	99.000000	0.000000	0.000000
1.003754	__vector_rbs	0.000000	0.000000	0.000000
1.003754	chromosome	0.000000	1.000000	1.000000
1.003754	chromprom	1.000000	0.000000	0.000000
1.003754	rnapol	8.000000	0.000000	0.000000
1.003754	rnapol-chromosome	0.000000	0.000000	0.000000
1.003754	rnapol-vector	0.000000	0.000000	0.000000
1.003754	vector	0.000000	0.000000	0.000000
1.003754	weakprom	1.000000	0.000000	0.000000
1.999445	__chromosome_rbs	2.000000	0.000000	0.000000
1.999445	__ribosome	99.000000	0.000000	0.000000
1.999445	__vector_rbs	0.000000	0.000000	0.000000
1.999445	chromosome	0.000000	2.000000	0.500000
1.999445	chromprom	0.000000	0.000000	0.000000
1.999445	rnapol	6.000000	0.000000	0.000000
1.999445	rnapol-chromosome	0.000000	0.000000	0.000000
1.999445	rnapol-vector	0.000000	0.000000	0.000000
1.999445	vector	0.000000	0.000000	0.000000
1.999445	weakprom	1.000000	0.000000	0.000000
2.999942	__chromosome_rbs	3.000000	0.000000	0.000000
2.999942	__ribosome	95.000000	0.000000	0.000000
2.999942	__vector_rbs	0.000000	0.000000	0.000000
2.999942	chromosome	0.000000	5.000000	1.000000
2.999942	chromprom	1.000000	0.000000	0.000000
2.999942	rnapol	5.000000	0.000000	0.000000
2.999942	rnapol-chromosome	0.000000	0.000000	0.000000
2.999942	rnapol-vector	0.000000	0.000000	0.000000
2.999942	vector	0.000000	0.000000	0.000000
2.999942	weakprom	1.000000	0.000000	0.000000
3.999408	__chromosome_rbs	3.000000	0.000000	0.000000
3.999408	__ribosome	91.000000	0.000000	0.000000
3.999408	__vector_rbs	0.000000	0.000000	0.000000
3.999408	chromosome	0.000000	5.000000	1.800000
3.999408	chromprom	0.000000	0.000000	0.000000
3.999408	rnapol	4.000000	0.000000	0.000000
3.999408	rnapol-chromosome	0.000000	0.000000	0.000000
3.999408	rnapol-vector	0.000000	0.000000	0.000000
3.999408	vector	0.000000	0.000000	0.000000
3.999408	weakprom	1.000000	0.000000	0.000000
4.999330	__chromosome_rbs	3.000000	0.000000	0.000000
4.999330	__ribosome	84.000000	0.000000	0.000000
4.999330	__vector_rbs	0.000000	0.000000	0.000000
4.999330	chromosome	0.000000	6.000000	2.666667
4.999330	chromprom	1.000000	0.000000	0.000000
4.999330	rnapol	4.000000	0.000000	0.000000
4.999330	rnapol-chromosome	0.000000	0.000000	0.000000
4.999330	rnapol-vector	0.000000	0.000000	0.000000
4.999330	vector	0.000000	0.000000	0.000000
4.999330	weakprom	1.000000	0.000000	0.000000
5.999218	__chromosome_rbs	4.000000	0.000000	0.000000
5.999218	__ribosome	80.000000	0.000000	0.000000
5.999218	__vector_rbs	0.000000	0.000000	0.000000
5.999218	chromosome	0.000000	6.000000	3.333333
5.999218	chromprom	1.000000	0.000000	0.000000
5.999218	rnapol	4.000000	0.000000	0.000000
5.999218	rnapol-chromosome	0.000000	0.000000	0.000000
5.999218	rnapol-vector	0.000000	0.000000	0.000000
5.999218	vector	0.000000	0.000000	0.000000
5.999218	weakprom	1.000000	0.000000	0.000000
6.999450	__chromosome_rbs	2.000000	0.000000	0.000000
6.999450	__ribosome	73.000000	0.000000	0.000000
6.999450	__vector_rbs	0.000000	0.000000	0.000000
6.999450	chromosome	0.000000	6.000000	4.500000
6.999450	chromprom	1.000000	0.000000	0.000000
6.999450	rnapol	3.000000	0.000000	0.000000
6.999450	rnapol-chromosome	0.000000	0.000000	0.000000
6.999450	rnapol-vector	0.000000	0.000000	0.000000
6.999450	vector	0.000000	0.000000	0.000000
6.999450	weakprom	1.000000	0.000000	0.000000
7.999584	__chromosome_rbs	4.000000	0.000000	0.000000
7.999584	__ribosome	67.000000	0.000000	0.000000
7.999584	__vector_rbs	0.000000	0.000000	0.000000
7.999584	chromosome	0.000000	7.000000	4.714286
7.999584	chromprom	0.000000	0.000000	0.000000
7.999584	rnapol	2.000000	0.000000	0.000000
7.999584	rnapol-chromosome	0.000000	0.000000	0.000000
7.999584	rnapol-vector	0.000000	0.000000	0.000000
7.999584	vector	0.000000	0.000000	0.000000
7.999584	weakprom	1.000000	0.000000	0.000000
8.999470	__chromosome_rbs	7.000000	0.000000	0.000000
8.999470	__ribosome	64.000000	0.000000	0.000000
8.999470	__vector_rbs	1.000000	0.000000	0.000000
8.999470	chromosome	0.000000	8.000000	4.500000
8.999470	chromprom	0.000000	0.000000	0.000000
8.999470	rnapol	0.000000	0.000000	0.000000
8.999470	rnapol-chromosome	0.000000	0.000000	0.000000
8.999470	rnapol-vector	0.000000	0.000000	0.000000
8.999470	vector	0.000000	1.000000	0.000000
8.999470	weakprom	1.000000	0.000000	0.000000
10.000216	__chromosome_rbs	5.000000	0.000000	0.000000
10.000216	__ribosome	56.000000	0.000000	0.000000
10.000216	__vector_rbs	1.000000	0.000000	0.000000
10.000216	chromosome	0.000000	9.000000	4.888889
10.000216	chromprom	1.000000	0.000000	0.000000
10.000216	rnapol	0.000000	0.000000	0.000000
10.000216	rnapol-chromosome	0.000000	0.000000	0.000000
10.000216	rnapol-vector	0.000000	0.000000	0.000000
10.000216	vector	0.000000	1.000000	0.000000
10.000216	weakprom	1.000000	0.000000	0.000000
10.999321	__chromosome_rbs	7.000000	0.000000	0.000000
10.999321	__ribosome	50.000000	0.000000	0.000000
10.999321	__vector_rbs	1.000000	0.000000	0.000000
10.999321	chromosome	0.000000	9.000000	5.555556
10.999321	chromprom	1.000000	0.000000	0.000000
10.999321	rnapol	0.000000	0.000000	0.000000
10.999321	rnapol-chromosome	0.000000	0.000000	0.000000
10.999321	rnapol-vector	0.000000	0.000000	0.000000
10.999321	vector	0.000000	1.000000	0.000000
10.999321	weakprom	1.000000	0.000000	0.000000
11.999072	__chromosome_rbs	7.000000	0.000000	0.000000
11.999072	__ribosome	47.000000	0.000000	0.000000
11.999072	__vector_rbs	1.000000	0.000000	0.000000
11.999072	chromosome	0.000000	9.000000	5.888889
11.999072	chromprom	1.000000	0.000000	0.000000
11.999072	rnapol	0.000000	0.000000	0.000000
11.999072	rnapol-chromosome	0.000000	0.000000	0.000000
11.999072	rnapol-vector	0.000000	0.000000	0.000000
11.999072	vector	0.000000	1.000000	0.000000
11.999072	weakprom	1.000000	0.000000	0.000000
12.999441	__chromosome_rbs	5.000000	0.000000	0.000000
12.999441	__ribosome	39.000000	0.000000	0.000000
12.999441	__vector_rbs	1.000000	0.000000	0.000000
12.999441	chromosome	0.000000	9.000000	6.777778
12.999441	chromprom	1.000000	0.000000	0.000000
12.999441	rnapol	0.000000	0.000000	0.000000
12.999441	rnapol-chromosome	0.000000	0.000000	0.000000
12.999441	rnapol-vector	0.000000	0.000000	0.000000
12.999441	vector	0.000000	1.000000	0.000000
12.999441	weakprom	1.000000	0.000000	0.000000
13.999709	__chromosome_rbs	9.000000	0.000000	0.000000
13.999709	__ribosome	35.000000	0.000000	0.000000
13.999709	__vector_rbs	1.000000	0.000000	0.000000
13.999709	chromosome	0.000000	9.000000	7.222222
13.999709	chromprom	1.000000	0.000000	0.000000
13.999709	rnapol	0.000000	0.000000	0.000000
13.999709	rnapol-chromosome	0.000000	0.000000	0.000000
13.999709	rnapol-vector	0.000000	0.000000	0.000000
13.999709	vector	0.000000	1.000000	0.000000
13.999709	weakprom	1.000000	0.000000	0.000000
15.000712	__chromosome_rbs	5.000000	0.000000	0.000000
15.000712	__ribosome	27.000000	0.000000	0.000000
15.000712	__vector_rbs	1.000000	0.000000	0.000000
15.000712	chromosome	0.000000	9.000000	8.111111
15.000712	chromprom	1.000000	0.000000	0.000000
15.000712	rnapol	0.000000	0.000000	0.000000
15.000712	rnapol-chromosome	0.000000	0.000000	0.000000
15.000712	rnapol-vector	0.000000	0.000000	0.000000
15.000712	vector	0.000000	1.000000	0.000000
15.000712	weakprom	1.000000	0.000000	0.000000
16.000162	__chromosome_rbs	7.000000	0.000000	0.000000
16.000162	__ribosome	24.000000	0.000000	0.000000
16.000162	__vector_rbs	1.000000	0.000000	0.000000
16.000162	chromosome	0.000000	9.000000	8.444444
16.000162	chromprom	1.000000	0.000000	0.000000
16.000162	rnapol	0.000000	0.000000	0.000000
16.000162	rnapol-chromosome	0.000000	0.000000	0.000000
16.000162	rnapol-vector	0.000000	0.000000	0.000000
